"ID";"Advice";"Date"
"0";"Наше отношение к самому себе – выстраивает отношения с окружающими людьми.";"26082022"
"1";"Психика и тело тесно взаимосвязаны.";"27082022"
"2";"Скромность и заниженная самооценка никого не красит. ";"28082022"
"3";"Позволь себе стать причиной своих удач в жизни.";"29082022"
"4";"Мы убираем свои страхи тогда, когда реализуем свои желания. ";"30082022"
"5";"Лучше сделать немного, но сегодня, чем много и никогда.";"31082022"
"6";"Нужно просто брать и делать!";"01092022"
"7";"Научиться договариваться внутри команды, важнее любой инновационной идеи.";"02092022"
"8";"Самое дорогое, что есть у тебя в жизни – это ты сам. ";"03092022"
"9";"Мы всегда зависим от того, что хотим. В виде желаний или ожиданий.";"04092022"
"10";"Любовь - способность дарить лучшую часть себя тому, кто дарит тебе своё время.";"05092022"
"11";"Старайся жить. Откажись от посредственности и максимизируй момент, ведь стараться - это не просто применять усилия, стараться - это получать в разы больше энергии и счастья от жизни.";"06092022"
"12";"Не пытайся казаться тем, кем ты не являешься.";"07092022"
"13";"Не стоит обижаться на правду.";"08092022"
"14";"Если хочешь быть с человеком навсегда - разреши ему ошибаться.";"09092022"
"15";"Если ты не хочешь чего-то в своей жизни, то всегда обозначай, что ты хочешь вместо этого. Иначе тебе достанется то, что случилось.";"10092022"
"16";"Не мешай людям жить так, как им хочется. Те, кого все устраивает тебе не по пути.";"11092022"
"17";"Опыт в этой жизни не дёшево стоит. За все нужно платить. Временем, деньгами, нервами или чувствами.";"12092022"
"18";"Само по себе ожидание не приводит к лучшей жизни.";"13092022"
"19";"Стараться - это не просто применять усилия, стараться - это получать в разы больше энергии и счастья от жизни.";"14092022"
