"ID";"Exer";"Type"
"0";"Назначь день темноты: принимайте душ, кушайте, убирайтесь без света.";"Когнитивные способности"
"1";"Смотри видеоролики без изображения или с изображением, но без звука.";"Когнитивные способности"
"2";"Если есть ребенок, проверь у него домашнее задание (+1000 к выносливости).";"Когнитивные способности"
"3";"Придумывай название каждому видео, которое смотришь. Обобщай весь смысл в одном слове. Придумывай названия магазинам и учреждениям, мимо которых ты проходишь. Не повторяйся.";"Когнитивные способности"
"4";"Выполни пару упражнений на равновесие и координацию! Их ты сможешь найти в соответствующем разделе. Упражнения на равновесие и координацию улучшают кровоснабжение всех отделов мозга. Соответственно в главный орган попадает больше кислорода, что стимулирует клеточное дыхание и замедляет процесс отмирания клеток.";"Когнитивные способности"
"5";"Проложи новый маршрут домой. Скучно каждый день возвращаться по одному пути. Так почему бы не придумать новый? Это отличное упражнение прокачает внимательность и бдительность. Главное — не потеряйся!";"Когнитивные способности"
"6";"Нарисуй карту по памяти. Такое упражнение отлично подходит для развития памяти. Посетив новое место, изобрази его по памяти в виде карты и сравни с оригиналом. Чем чаще ты будешь это делать, тем легче тебе будет запоминать новую информацию!";"Когнитивные способности"
"7";"Выполняй действия левой рукой (или правой, если ты левша). Развитие мелкой моторики играет большое значение в поддержании работоспособности коры головного мозга. Сначала задача может показаться невыполнимой, но это очень интересно!";"Когнитивные способности"
"8";"Ешь, используя палочки. Это упражнение полезно не только для удобного употребления азиатской пищи, но и для развития мозга!";"Когнитивные способности"
"9";"Медитируй. Ученые сходятся во мнении, что медитация способствует снижению стресса, улучшает способность к обучению, позволяет тренировать навыки удержания фокуса и внимания, позитивно сказывается памяти и настроении. А сами медитации ты можешь найти в соответствующем разделе в главном меню!";"Когнитивные способности"
"11";"Сядь и вытяни скрещенные в районе щиколоток ноги так, чтобы ступни касались пола. Медленно наклонись вперед на выдохе. Вытяни руки параллельно ногам. Вернись в исходное положение на вдохе. Повторяй 4–6 раз.";"Равновесие и координацию"
"12";"Ложись. Согни нижнюю ногу и поднеси к согнутому локтю руки, которая сверху. Делай упражнение медленно, осознавая каждый миллиметр движения.";"Равновесие и координацию"
"13";"Стой прямо, но расслабленно. Поочередно наклоняй голову в стороны и касайся плечей мочками ушей. Вытяни руку вперед и представь, что держишь указательный палец в сердцевине цветка с пятью лепестками. Повторяй контуры цветка верхней частью туловища.";"Равновесие и координацию"
"14";"Вспомни, как выглядят знаки peace и ок. Вытяни любую руку и попеременно показывай сложенные из пальцев знаки. Упражняйтесь минуту. После делай то же самое двумя руками и в очень быстром темпе. На третьем этапе добавь звука: произноси поговорку «На меду медовик, а мне не до медовика»";"Равновесие и координацию"
"15";"Встань ровно, руки на пояс. Медленно согни одну ногу в колене и подними её, прижав к другому колену (поза Цапли). Сохраняй равновесие 10 секунд, а затем смени ногу. Когда появится уверенность, выполняй упражнение с закрытыми глазами.";"Равновесие и координацию"
"16";"Поставь стопы одну перед другой на одну линию так, чтобы носок одной ноги касался пятки другой, представь, что ты идешь по канату. Важно держать спину прямо и сохранять такое положение не менее чем 10 секунд, а затем поменять ноги местами.";"Равновесие и координацию"
"17";"Встань на четвереньки. Держи спину прямо, не прогибайся. Ноги и руки должны образовывать со спиной угол в 90 градусов. Вытяни вперёд правую руку и одновременно назад – левую ногу. Спустя пару секунд поменяй руки и ноги местами: если изначально ты вытягивал правую руку, поменяй её на левую. Аналогично сделай с ногами.";"Равновесие и координацию"
"18";"Встань ровно и начни равномерно перекатываться с носков на пятку и обратно. Сделай перекаты восемь раз и задержись на 10 секунд сначала на носках, потом на пятках.";"Равновесие и координацию"
"19";"Встань прямо, подними над головой прямые руки. Сделай наклон вперёд с прямой спиной, пока корпус и руки не будут параллельны полу. Подними одну ногу до параллели с полом. Нога, спина и руки должны представлять собой прямую линию.  Взгляд направлен вниз, не заламывай шею. Удерживай позу в течение 30 секунд и повтори с другой ноги.";"Равновесие и координацию"
"20";"Встань прямо, левую руку поставь на пояс, согни левое колено и оторви стопу от пола — это исходное положение. Сделай приседание на правой ноге, одновременно наклоните корпус и правой рукой дотронься до пола рядом с правой стопой. Вернись в исходное положение и повтори упражнение. Выполни 10 приседаний и повтори с другой ноги.";"Равновесие и координацию"
"10";"Встань прямо, вытяни руки с растопыренными пальцами. Соедини их, чтобы пальцы совпадали. Через секунду разъедини и положи руки на плечи (правая на правое, левая на левое). Снова соедини пальцы. Повтори упражнение 10–20 раз в быстром темпе и с минимумом промахов при соединении пальцев.";"Равновесие и координацию"
"21";"Представь, как играешь на пианино. Как расположены пальцы? С какой скоростью двигаются? Какую мелодию играют – услышь звук, поймайте ритм, попробуй перемещаться в такт. Додумай историю – почему родилась эта композиция, с какими чувствами связана?";"Воображение"
"22";"Нарисуй на листе бумаге случайную кривую. Дорисуй картинку в соответствии со случайной темой, возникшей в голове (животные, части тела, аксессуары и пр.).";"Воображение"
"23";"Назови ассоциации с числами 12, 7, 4, 56, 11. Когда эти числа закончатся, придумай новые и повтори упражнение.";"Воображение"
"24";"Найди какие-нибудь картинки в интернете. Представь музыку, с которой эта картинка ассоциируется. Запиши историю, которая по динамике (бодрая, веселая, грустная и пр.) повторяет композицию в голове.";"Воображение"
"25";"Вспомни последний просмотренный фильм/сериал/аниме. Перенеси сценарий в другую эпоху: как трансформируется сюжет, изменятся ли характеры героев, совпадет ли концовка?";"Воображение"
"26";"Возьми томик стихов любого автора, открой его на произвольной странице и прочитай первую попавшуюся строку. Теперь сочини собственное четверостишие, первой фразой которого и будет выбранная строка. ";"Воображение"
"27";"Придумай послание для себя же, которое ты, якобы, получишь в далеком будущем, обратившись к себе спустя 10 лет. Задай себе вопросы или приведи советы и примеры правильных решений возникших ситуаций.";"Воображение"
"28";"Предположи, что в самую рань, когда все нормальные люди еще спят, к тебе заглянул неожиданный гость. Опиши на бумаге твою реакцию на происходящее.";"Воображение"
"29";"Во время утомительной езды до работы на общественном транспорте попробуй выдумать возможную линию жизни для какого-либо пассажира. Придумай ему фамилию, имя, дату рождения, главенствующие моменты в его судьбе. Предположи род его занятий, увлечения.";"Воображение"
"30";"Воспроизведи на листе бумаги перечень, состоящий из 10 предметов, окружающих тебя. Укажи, какие образы всплывают в голове, глядя на них, — рассказ, эмоциональное состояние, событие, переживание. Не ограничивай фантазию обыденными стереотипами, дай волю воображению.";"Воображение"
"31";"Придумай и приготовь блюдо, в котором содержится максимальное количество ингредиентов и которое ты не пробовал. ";"Вкусовое и обонятельное восприятие"
"32";"Закажи неизвестное блюдо в кафе и угадай составляющие: сначала по запаху, потом по вкусу. Если тебе по душе жидкие состояния, закажи коктейль и повтори процедуру. ";"Вкусовое и обонятельное восприятие"
"33";"Выйди на улицу и понюхай предметы, которые ты уже видел, но не чувствовал их запах: забор, вывеску на кафе, чайник в офисе. Соотнеси в голове запахи неживой природы с уже знакомыми запахами любого характера. После понюхай растения, животных, птиц. Делай это, если нет аллергии и ты уверен в безопасности взаимодействия с объектом живой природы. ";"Вкусовое и обонятельное восприятие"
"34";"Дай как можно больше определений запахам привычных вещей: лук – горький, резкий, противный и пр. ";"Вкусовое и обонятельное восприятие"
"35";"Сравни запахи объектов из одной видовой группы: духи с духами, травы с травами, котов с котами. Чем они различаются? Найди большое количество различий.";"Вкусовое и обонятельное восприятие"
"36";"Сосредоточь внимание на кончике своего носа, попробуй вспомнить какой-нибудь запах (например, любимого цветка или мандаринов). Постарайся почувствовать этот запах, активизировать его. В первые дни выполняй такое упражнение, закрыв глаза, затем начинай выполнять с открытыми. Параллельно старайся создать в воображении мысленный образ предмета, запах которого ты представляешь, и воссоздать тактильные ощущения от него.";"Вкусовое и обонятельное восприятие"
"37";"Подготовь несколько предметов, имеющих разные запахи. Закрой глаза и попробуй запомнить эти предметы, ориентируясь только на их запах. Представь себе запахи в виде зрительных образов, ориентируясь на те ассоциации, которые возникают в связи с каждым из этих запахов.";"Вкусовое и обонятельное восприятие"
"38";"Сосредоточь внимание на кончике языка. Через пару минут после этого ты почувствуешь, что слюноотделение увеличилось. Теперь возьми кусочек шоколада, положи его перед собой. Закрой глаза, стараясь как можно точнее представить себе этот шоколад, его запах, вкус, тактильные ощущения от него. Попробуй вызвать вкус шоколада на кончике языка. ";"Вкусовое и обонятельное восприятие"
"39";"Пусть собеседник читает текст тихим монотонным голосом на расстоянии 3–4 метра от тебя. Он должен останавливаться каждые три минуты: в это время пересказывай суть прочитанного. ";"Слух"
"40";"Собеседник на расстоянии 3-4 метра от тебя произносит слова наоборот. Твоя задача услышать и назвать правильно. Далее практикуйтесь с длинными фразами и абзацами. ";"Слух"
"41";"Собеседник с выражением читает стихотворение и меняет интонацию в нужных местах. Повтори в точности. Стихотворение можно читать с листа – главное интонации. ";"Слух"
"42";"Упражнение групповое: отгородись от друзей ширмой. Каждый из них должен походить назад и вперед. После окончания дефиле, угадай какие шаги кому принадлежали. ";"Слух"
"43";"Смотри видео с иностранцами и запоминай манеру говорить, интонации и прочие характерные для нации звуковые особенности.";"Слух"
