"ID";"Name";"Author";"URL";"Type"
"0";"Антистресс медитация за 7 минут";"Jooble";"https://www.youtube.com/watch?v=xN1XKJe09rc";"Расслабление"
"1";"РАССЛАБЛЕНИЕ ЗА 3 МИНУТЫ Короткая медитация АНТИСТРЕСС Передышка для МОЗГА | Майндфулнесс практика";"Lina Semina";"https://www.youtube.com/watch?v=uMOWbFWbW48";"Расслабление"
"2";"Медитация для успокоения нервов и релаксации | Медитация от тревоги | 10 минут";"toki well-being";"https://www.youtube.com/watch?v=LZx6BES1czI";"Расслабление"
"3";"Медитация утренняя от тревоги и стресса | Медитация для успокоения нервов";"toki well-being";"https://www.youtube.com/watch?v=WmukQ7SePso";"Расслабление"
"4";"Медитация перед сном для успокоения нервов | Медитация на ночь от стресса";"toki well-being";"https://www.youtube.com/watch?v=FZqtF0Nm4YE";"Расслабление"
"5";"Дневная медитация. Быстрая перезагрузка.";"Психолог Ольга Бойченко";"https://www.youtube.com/watch?v=4qiIW16K7Ck";"Энергия"
"6";"МЕДИТАЦИЯ, заряженная на ОБНОВЛЕНИЕ и УСПЕХ";"
runa laboratory";"https://www.youtube.com/watch?v=LJRnG2BEAEo";"Энергия"
"7";"Мощный Заряд Энергии - Медитация. Супер энергия за 10 минут. Наполнение жизненными силами.";"
ИСЦЕЛЯЮЩИЕ МЕДИТАЦИИ. ТЕТАХИЛИНГ и ПСИХОЛОГИЯ";"https://www.youtube.com/watch?v=HmZPbVzfQ3s";"Энергия"
"8";"Медитация на возвращение энергии. Верни свою энергию из прошлого.";"🍃Медитации от Лилу🍃";"https://www.youtube.com/watch?v=0bwU5HvfvCc";"Энергия"
"9";"Утренняя медитация | Здоровье | Заземление | Заряд энергии | 5 минут";"toki well-being";"https://www.youtube.com/watch?v=EYbRHFtpCbk";"Энергия"
"10";"Снять стресс и очистить сознание от негатива за 5 минут🌿 МЕДИТАЦИЯ ОНЛАЙН | Лина Семина";"Lina Semina";"https://www.youtube.com/watch?v=Nu0LWh_07VY";"Снятие стресса"
"11";"Медитация: Управляй тревогой! | Стоп тревога! ";"OpenMind today / медитации и аффирмации";"https://www.youtube.com/watch?v=cw4N5TXpII0";"Снятие стресса"
"12";"Снять стресс за 5 минут. Медитация очищения. Перезагрузка за 5 минут. Обнуление.";"
ИСЦЕЛЯЮЩИЕ МЕДИТАЦИИ. ТЕТАХИЛИНГ и ПСИХОЛОГИЯ";"https://www.youtube.com/watch?v=tHyc91pc8Vc";"Снятие стресса"
"13";"Быстро снять стресс, тревогу, напряжение. Медитация. Избавлением тревоги и Страсса. расслабление.";"
ИСЦЕЛЯЮЩИЕ МЕДИТАЦИИ. ТЕТАХИЛИНГ и ПСИХОЛОГИЯ";"https://www.youtube.com/watch?v=xwj9sHJ1tNg";"Снятие стресса"
"14";"Экспресс медитация и релаксация - Быстрое успокоение нервов за 8 минут!";"Мастер покоя Aharsitta";"https://www.youtube.com/watch?v=31dPsNTB9U4";"Снятие стресса"
